strength,category
Achiever,Executing
Activator,Influencing
Adaptability,Relating
Analytical,Thinking
Arranger,Strategic Thinking
Belief,Relating
Command,Influencing
Communication,Influencing
Competition,Strategic Thinking
Connectedness,Relating
Consistency,Executing
Context,Strategic Thinking
Deliberative,Thinking
Developer,Relating
Discipline,Executing
Empathy,Relating
Focus,Executing
Harmony,Relating
Ideation,Thinking
Individualization,Relating
Includer,Relating
Input,Thinking
Intellection,Thinking
Learner,Thinking
Maximizer,Strategic Thinking
Positivity,Relating
Relator,Relating
Responsibility,Executing
Restorative,Relating
Self-Assurance,Strategic Thinking
Strategic,Strategic Thinking
Teamwork,Relating
Woo,Influencing
